,name,office_lst,office_str
0,Helio,"[34.057498, -118.446596]","34.057498,-118.446596"
1,Stickam,"[34.051409, -118.254558]","34.051409,-118.254558"
2,TripUp,"[34.052187, -118.243425]","34.052187,-118.243425"
3,ScanScout,"[34.050887, -118.459995]","34.050887,-118.459995"
4,WebbAlert,"[34.052187, -118.243425]","34.052187,-118.243425"
5,Revver,"[34.052187, -118.243425]","34.052187,-118.243425"
6,Social Platform,"[34.101617, -118.327071]","34.101617,-118.327071"
7,DAVE Networks,"[33.979033, -118.423423]","33.979033,-118.423423"
8,Shopzilla,"[37.09024, -95.712891]","37.09024,-95.712891"
9,PriceGrabber,"[37.09024, -95.712891]","37.09024,-95.712891"
10,hulu,"[34.031276, -118.456806]","34.031276,-118.456806"
11,Orgoo,"[34.0481711, -118.4419012]","34.0481711,-118.4419012"
12,RotoHog,"[33.959799, -118.343938]","33.959799,-118.343938"
13,mEgo,"[34.064491, -118.42749]","34.064491,-118.42749"
14,StreetFire,"[33.982431, -118.426707]","33.982431,-118.426707"
15,Springbox,"[34.0065488, -118.3923578]","34.0065488,-118.3923578"
16,RazorGator,"[34.047312, -118.445243]","34.047312,-118.445243"
17,Oversee,"[34.051368, -118.256305]","34.051368,-118.256305"
18,MetaNotes,"[34.128046, -118.289065]","34.128046,-118.289065"
19,PlanJam,"[34.059721, -118.425401]","34.059721,-118.425401"
20,E! Entertainment,"[34.062253, -118.3543243]","34.062253,-118.3543243"
21,Jirbo,"[34.064629, -118.469316]","34.064629,-118.469316"
22,Gorilla Nation Media,"[33.988735, -118.368871]","33.988735,-118.368871"
23,Social Gaming Network,"[37.446823, -122.161523]","37.446823,-122.161523"
24,ePillager,"[34.029209, -118.289344]","34.029209,-118.289344"
25,JuicyCampus,"[33.954874, -118.396507]","33.954874,-118.396507"
26,ALi Corporation,"[34.0618146, -118.2899533]","34.0618146,-118.2899533"
27,Napster,"[34.080772, -118.3891962]","34.080772,-118.3891962"
28,AtomicOnline,"[33.988735, -118.368871]","33.988735,-118.368871"
29,SEO Intelligence,"[34.041037, -118.23341]","34.041037,-118.23341"
30,Taltopia,"[34.052187, -118.243425]","34.052187,-118.243425"
31,SmartRatings,"[34.047104, -118.434213]","34.047104,-118.434213"
32,DailyStrength,"[34.043948, -118.468204]","34.043948,-118.468204"
33,CrewedUp,"[34.089679, -118.292618]","34.089679,-118.292618"
34,Authenticlick,"[34.062504, -118.354605]","34.062504,-118.354605"
35,FASTALLEY,"[34.081952, -118.357658]","34.081952,-118.357658"
36,Wedding Channel,"[34.0486806, -118.2587784]","34.0486806,-118.2587784"
37,Causecast,"[34.018349, -118.486889]","34.018349,-118.486889"
38,Magento,"[34.052187, -118.243425]","34.052187,-118.243425"
39,Mindbox,"[34.050907, -118.253254]","34.050907,-118.253254"
40,Brilliant2,"[34.043228, -118.46856]","34.043228,-118.46856"
41,Davinci Selectwork,"[33.9772881, -118.4258761]","33.9772881,-118.4258761"
42,Shopflick,"[34.044939, -118.419067]","34.044939,-118.419067"
43,BizRate,"[34.031646, -118.455352]","34.031646,-118.455352"
44,Modern Feed,"[34.085749, -118.343791]","34.085749,-118.343791"
45,Channel M,"[34.052187, -118.243425]","34.052187,-118.243425"
46,FreedomSpeaks,"[34.0634, -118.445257]","34.0634,-118.445257"
47,GeoGraffiti,"[34.05285, -118.264858]","34.05285,-118.264858"
48,The Yucaipa Companies,"[34.0905865, -118.3905856]","34.0905865,-118.3905856"
49,OVGuide,"[34.052187, -118.243425]","34.052187,-118.243425"
50,FirstString,"[34.052187, -118.243425]","34.052187,-118.243425"
51,The Economist Group,"[34.080651, -118.334436]","34.080651,-118.334436"
52,Passenger,"[34.029956, -118.308943]","34.029956,-118.308943"
53,TrafficZ,"[34.037542, -118.441178]","34.037542,-118.441178"
54,SocialVibe,"[34.0815238, -118.3826743]","34.0815238,-118.3826743"
55,LiveAutographs,"[34.052187, -118.243425]","34.052187,-118.243425"
56,VersaTables,"[33.903544, -118.265655]","33.903544,-118.265655"
57,GameFly,"[33.934558, -118.3962622]","33.934558,-118.3962622"
58,Jamba,"[34.052187, -118.243425]","34.052187,-118.243425"
59,Placebase,"[34.044931, -118.23497]","34.044931,-118.23497"
60,Fabric Interactive,"[34.0748, -118.288536]","34.0748,-118.288536"
61,MeDeploy,"[34.1395597, -118.3870991]","34.1395597,-118.3870991"
62,Interpolls,"[34.048573, -118.25957]","34.048573,-118.25957"
63,ShopIt,"[34.05304, -118.46643]","34.05304,-118.46643"
64,simple season,"[34.039585, -118.255804]","34.039585,-118.255804"
65,Attention Span Media,"[34.06226, -118.343648]","34.06226,-118.343648"
66,Fandango,"[34.031646, -118.455352]","34.031646,-118.455352"
67,ZipcodeZ,"[34.05775, -118.4138]","34.05775,-118.4138"
68,SceneCaster,"[34.052187, -118.243425]","34.052187,-118.243425"
69,J2 Global Communications,"[34.1015548, -118.3406957]","34.1015548,-118.3406957"
70,Rootdown,"[34.048545, -118.339502]","34.048545,-118.339502"
71,Samfind,"[34.052107, -118.385271]","34.052107,-118.385271"
72,Event Innovation,"[34.061368, -118.416334]","34.061368,-118.416334"
73,SDI Semiconductor Instruments,"[34.052187, -118.243425]","34.052187,-118.243425"
74,CraveOnline,"[33.987978, -118.362442]","33.987978,-118.362442"
75,GoodSearch,"[34.086348, -118.488226]","34.086348,-118.488226"
76,Tubefilter,"[34.070436, -118.350486]","34.070436,-118.350486"
77,Skwibble,"[34.052187, -118.243425]","34.052187,-118.243425"
78,magnify360,"[33.946285, -118.38823]","33.946285,-118.38823"
79,Quant the News,"[34.054259, -118.414064]","34.054259,-118.414064"
80,SiteRapture,"[34.062262, -118.348198]","34.062262,-118.348198"
81,Weblocal,"[34.052187, -118.243425]","34.052187,-118.243425"
82,BakeSpace,"[34.098028, -118.353624]","34.098028,-118.353624"
83,Geodelic Systems,"[34.005914, -118.488129]","34.005914,-118.488129"
84,eVoice,"[34.101555, -118.340696]","34.101555,-118.340696"
85,Tubefilter,"[34.070436, -118.350486]","34.070436,-118.350486"
86,Skwibble,"[34.052187, -118.243425]","34.052187,-118.243425"
87,magnify360,"[33.946285, -118.38823]","33.946285,-118.38823"
88,Quant the News,"[34.054259, -118.414064]","34.054259,-118.414064"
